GHCND,STATION_NAME,ST,COUNTY,LAT_DEC,LON_DEC
USC00515275,LANAI AIRPORT 656,HI,MAUI,20.8,-156.95
USC00512679,KAILUA 446,HI,MAUI,20.9,-156.21667
USW00022516,KAHULUI NAS,HI,MAUI,20.9,-156.43333
USC00512307,KAANAPALI AIRPORT 453.1,HI,MAUI,20.93333,-156.7
USW00022534,MOLOKAI AIRPORT,HI,MAUI,21.15,-157.1
USC00515800,MAKAPUU POINT 724,HI,HONOLULU,21.30988,-157.66974
USC00511308,HAWAII KAI G C 724.19,HI,HONOLULU,21.3,-157.65
USW00022522,HONOLULU WB CITY 704,HI,HONOLULU,21.31667,-157.86667
USW00022521,WBAS HONOLULU,HI,HONOLULU,21.325833,-157.91333
USW00022515,EWA MCAS,HI,HONOLULU,21.33333,-158.05
USW00022514,BARBERS POINT NAS,HI,HONOLULU,21.31667,-158.06667
USW00022551,EWA KALAELOA AP,HI,HONOLULU,21.31667,-158.06667
USW00022504,HICKAM AAF,HI,HONOLULU,21.33333,-157.95
USC00519523,WAIMANALO EXP F 795.1,HI,HONOLULU,21.33333,-157.71667
USW00022517,PEARL HARBOR NAS,HI,HONOLULU,21.35,-157.95
USW00022519,KANEOHE NAVY AIR STN,HI,HONOLULU,21.45045,-157.76794
USW00022508,WHEELER AAF 810.1,HI,HONOLULU,21.48333,-158.03333
USW00022526,PORT ALLEN,HI,KAUAI,21.9,-159.6
USW00022536,LIHUE WB AP 1020.1,HI,KAUAI,21.98333,-159.35
USC00515575,LIHUE 1020,HI,KAUAI,21.98333,-159.36667
USW00022501,BARKING SANDS,HI,KAUAI,22.03333,-159.78333
USC00514568,KILAUEA POINT 1133,HI,KAUAI,22.23333,-159.4
USW00022602,FRENCH FRIGAT SHS NAS,HI,,23.86903,-166.28625
USC00513317,KAPALUA-WEST MAUI AIRPORT,HI,MAUI,20.96667,-156.68333
USC00515430,LAUPAHOEHOE,HI,HAWAII,20.0,-155.25
RQW00011637,SANTA ISABEL,PR,PONCE,17.96667,-66.4
RQC00667297,PONCE MERCEDITA AIRPOR,PR,PONCE,18.01667,-66.56667
RQW00011630,ROOSEVELT ROADS,PR,HUMACAO,18.25,-65.63333
RQW00011641,ISLA VERDE,PR,SAN JUAN,18.43333,-66.0
RQC00668811,SAN JUAN WB AIRPORT,PR,SAN JUAN,18.45,-66.1
RQW00011631,SAN JUAN CITY,PR,,18.46667,-66.11667
RQW00011618,SAN JUAN NS,PR,SAN JUAN,18.46667,-66.11667
RQW00011603,RAMEY AIR FORCE BASE,PR,MAYAGUEZ,18.5,-67.13333
VQW00011640,CHARLOTTE AMALIE BOURNE FIELD,VI,ST. THOMAS,18.3363,-64.98
USW00012919,RIO GRANDE VALLEY AP,TX,CAMERON,25.91667,-97.46667
USW00012957,PORT ISABEL NAAS,TX,CAMERON,26.16667,-97.33333
USW00012959,MCALLEN FAA AIRPORT,TX,HIDALGO,26.18333,-98.23333
USW00012904,HARLINGEN AAF,TX,CAMERON,26.23333,-97.66667
USW00012928,KINGSVILLE NAAS,TX,KLEBERG,27.5,-97.8
USC00414810,KINGSVILLE NAAS,TX,KLEBERG,27.5,-97.8
USW00012907,LAREDO AFB,TX,WEBB,27.53333,-99.46667
USW00012920,LAREDO,TX,WEBB,27.55,-99.5
USW00012926,CORPUS CHRISTI NAS,TX,NUECES,27.7,-97.26667
USW00012946,CORPUS CHRISTI CABANISS FIELD NALF,TX,NUECES,27.68333,-97.45
USW00012932,ALICE MUNICIPAL AP,TX,JIM WELLS,27.73333,-98.03333
USW00012924,CORPUS CHRISTI/WBAS,TX,NUECES,27.766667,-97.45
USC00412011,CORPUS CHRISTI - COOP,TX,NUECES,27.8,-97.4
USW00012925,BEEVILLE CHASE NAAS,TX,BEE,28.36667,-97.66667
USW00012947,COTULLA LA SALLE COUNTY AP,TX,LA SALLE,28.45806,-99.22
USC00410639,BEEVILLE 5 NE,TX,BEE,28.45,-97.7
USW00012935,PALACIOS MUNICIPAL AP,TX,MATAGORDA,28.71667,-96.25
USW00012922,VICTORIA,TX,VICTORIA,28.78333,-97.08333
USW00012912,VICTORIA COUNTY AP,TX,VICTORIA,28.85,-96.91667
USW00012976,LAKE JACKSON BRAZORIA COUNTY AP,TX,BRAZORIA,29.11667,-95.46667
USW00012923,GALVESTON MUNICIPAL AP,TX,GALVESTON,29.26667,-94.86667
USW00012953,WHARTON,TX,WHARTON,29.28333,-96.13333
USW00012944,GALVESTON,TX,GALVESTON,29.3,-94.8
USC00419952,YOAKUM,TX,LAVACA,29.3,-97.15
USW00012903,HONDO AAF,TX,MEDINA,29.35,-99.16667
USW00022004,DEL RIO,TX,VAL VERDE,29.33333,-100.88333
USW00012970,SAN ANTONIO STINSON FIELD,TX,BEXAR,29.33333,-98.46667
USW00012931,SAN ANTONIO BROOKS AFB,TX,BEXAR,29.35,-98.45
USW00012909,SAN ANTONIO KELLY FIELD AAF,TX,BEXAR,29.38333,-98.56667
USW00012962,HONDO MUNICIPAL AP,TX,MEDINA,29.35,-99.16667
USW00022001,DEL RIO LAUGHLIN AAF,TX,VAL VERDE,29.36667,-100.78333
USW00022010,DEL RIO VAL VERDE COUNTY AP,TX,VAL VERDE,29.36667,-100.81667
USW00012911,SAN ANTONIO RANDOLPH AFB,TX,BEXAR,29.53333,-98.28333
USW00012921,SAN ANTONIO WSFO,TX,BEXAR,29.45,-98.466667
USC00417262,PRESIDIO,TX,PRESIDIO,29.55,-104.38333
USW00012906,HOUSTON ELLINGTON AAF,TX,HARRIS,29.6,-95.16667
USW00012918,HOUSTON WILLIAM P HOBBY AP,TX,HARRIS,29.65,-95.28333
USW00012945,HOUSTON WB CITY,TX,HARRIS,29.75,-95.31667
USC00417173,PORT ARTHUR WB CITY,TX,JEFFERSON,29.86667,-93.93333
USW00012910,SAN MARCOS GARY AAF,TX,CALDWELL,29.88333,-97.86667
USW00012917,PORT ARTHUR BEAUMONT MUNICIPAL AP,TX,JEFFERSON,29.95,-94.01667
USW00012960,HOUSTON WSMO AP,TX,HARRIS,29.98333,-95.36667
USW00012961,KERRVILLE MUNICIPAL AP,TX,KERR,29.98333,-99.08333
USC00417706,ROCKSPRINGS,TX,EDWARDS,30.01667,-100.21667
USW00053910,HOUSTON HOOKS MEMORIAL AP,TX,HARRIS,30.06667,-95.55
USW00013904,AUSTIN BERGSTROM AAF,TX,TRAVIS,30.2,-97.66667
USC00410420,AUSTIN,TX,TRAVIS,30.28333,-97.73333
USC00415589,MARFA CAA AIRPORT,TX,PRESIDIO,30.25,-103.88333
USW00093947,FREDERICKSBURG,TX,GILLESPIE,30.26667,-98.86667
USW00013958,AUSTIN MUELLER MUNICIPAL AP,TX,TRAVIS,30.3,-97.7
USC00416211,NAVASOTA,TX,WASHINGTON,30.4,-96.06667
USW00003049,ALPINE CASPARIS MUNICIPAL AP,TX,BREWSTER,30.38333,-103.68333
USC00415590,MARFA AIRPORT,TX,PRESIDIO,30.36667,-104.01667
USW00013973,JUNCTION,TX,KIMBLE,30.48333,-99.76667
USW00003904,COLLEGE STATION FAA AP,TX,BRAZOS,30.58333,-96.36667
USW00013905,BRYAN AAF,TX,BRAZOS,30.63333,-96.48333
USW00053903,HUNTSVILLE MUNICIPAL AP,TX,WALKER,30.75,-95.58333
USW00003944,PALO PINTO DEMPSEY AF,TX,PALO PINTO,32.78333,-98.26667
USW00023091,FORT STOCKTON,TX,PECOS,30.88333,-102.88333
USC00419295,VAN HORN,TX,CULBERSON,31.03333,-104.85
USW00003902,ROBERT GRAY AFB,TX,BELL,31.06667,-97.81667
USC00414792,KILLEEN AIRPORT,TX,BELL,31.08333,-97.68333
USW00003933,FORT HOOD,TX,BELL,31.13333,-97.71667
USW00093984,TEMPLE DRAUGHTON MIL,TX,BELL,31.15,-97.41667
USW00013955,KILEEN FT HOOD S AAF,TX,BELL,31.15,-97.71667
USW00093987,LUFKIN ANGELINA COUNTY AP,TX,ANGELINA,31.23333,-94.75
USW00023034,SAN ANGELO,TX,TOM GREEN,31.45,-100.41667
USW00023017,SAN ANGELO GOODFELLOW AAF,TX,TOM GREEN,31.4,-100.4
USW00013928,WACO JAMES CONNALLY AAF,TX,MCLENNAN,31.63333,-97.06667
USW00013959,WACO RICH FIELD,TX,MCLENNAN,31.55,-97.18333
USW00093914,PALESTINE,TX,ANDERSON,31.75,-95.66667
USW00093983,PALESTINE,TX,ANDERSON,31.78333,-95.7
USW00023040,WINKLER COUNTY AP,TX,WINKLER,31.78333,-103.2
USW00023059,SALT FLAT,TX,HUDSPETH,31.75,-105.08333
USW00023080,EL PASO,TX,EL PASO,31.78333,-106.5
USC00411578,CENTER,TX,SHELBY,31.8,-94.16667
USW00023055,GUADALUPE PASS,TX,CULBERSON,31.83333,-104.8
USW00023044,EL PASO WSO AP,TX,EL PASO,31.783333,-106.5
USW00023019,BIGGS AAF,TX,EL PASO,31.83333,-106.4
USW00023023,MIDLAND SLOAN FIELD,TX,MIDLAND,31.93333,-102.2
USW00003969,STEPHENVILLE WSMO,TX,ERATH,32.21667,-98.18333
USW00023041,BIG SPRING,TX,HOWARD,32.23333,-101.5
USW00023005,WEBB AAFB,TX,HOWARD,32.21667,-101.48333
USW00003951,LONGVIEW WSMO,TX,RUSK,32.35,-94.65
USW00013972,TYLER,TX,SMITH,32.36667,-95.4
USW00013962,ABILENE REGIONAL AP,TX,TAYLOR,32.45,-99.68333
USW00013910,ABILENE DYESS AAF,TX,TAYLOR,32.41667,-99.85
USC00418062,SANTO AIRPORT,TX,PALO PINTO,32.61667,-98.23333
USW00003971,DALLAS REDBIRD AP,TX,DALLAS,32.68333,-96.86667
USW00093901,DALLAS HENSLEY FIELD NAS,TX,DALLAS,32.73333,-96.96667
USW00013907,DALLAS HENSLEY FIELD AAF,TX,DALLAS,32.73333,-96.96667
USW00093928,DALLAS WBO,TX,DALLAS,32.76667,-96.78333
USC00413290,FORT WORTH WBO,TX,TARRANT,32.75,-97.33333
USW00093985,MINERAL WELLS MUNICIPAL AP,TX,PALO PINTO,32.78333,-98.06667
USW00003927,FORT WORTH WB AP,TX,TARRANT,32.83333,-97.05
USW00013961,FORT WORTH,TX,TARRANT,32.81667,-97.35
USW00093904,FORT WORTH MEACHAM FIELD NAAF,TX,TARRANT,32.81667,-97.35
USW00003943,MINERAL WELLS FORT WOLTERS AF,TX,PARKER,32.83333,-98.05
USC00410058,DALLAS ADDISON AP,TX,DALLAS,32.96667,-96.83333
USW00093903,FORT WORTH EAGLE MT LK MCAS,TX,TARRANT,32.98333,-97.48333
USW00013926,GREENVILLE MAJORS AAF,TX,HUNT,33.06667,-96.05
USC00418743,SULPHUR SPRINGS,TX,HOPKINS,33.13333,-95.6
USW00093937,SULPHUR SPRINGS,TX,HOPKINS,33.16667,-95.6
USW00093955,PARIS,TX,LAMAR,33.63333,-95.45
USW00023021,REESE AAF,TX,LUBBOCK,33.58333,-102.23333
USW00093929,GAINESVILLE,TX,COOKE,33.66667,-97.13333
USW00023042,LUBBOCK MUNICIPAL AP,TX,LUBBOCK,33.63333,-101.83333
USW00013923,PERRIN AFB,TX,GRAYSON,33.71667,-96.66667
USW00013966,WICHITA FALLS MUNICIPAL AP,TX,WICHITA,33.98333,-98.51667
USW00023007,CHILDRESS AAF,TX,CHILDRESS,34.43333,-100.28333
USW00023072,CLARENDON MUNICIPAL AP,TX,DONLEY,35.0,-100.98333
USW00023047,ENGLISH FIELD,TX,POTTER,35.23333,-101.7
USC00410068,ADRIAN,TX,OLDHAM,35.28333,-102.66667
USW00023053,PAMPA,TX,GRAY,35.53333,-100.95
USW00003024,BORGER AIRPORT,TX,HUTCHINSON,35.7,-101.4
USW00093042,DALHART FAA AIRPORT,TX,DALLAM,36.01667,-102.55
USW00053909,FORT WORTH ALLIANCE AP,TX,TARRANT,32.98333,-97.31667
USW00093198,ST GEORGE CAA AIRPORT,UT,WASHINGTON,37.05,-113.51667
USW00023186,ST GEORGE MUNICIPAL AP,UT,WASHINGTON,37.08333,-113.6
USC00420738,BLANDING,UT,SAN JUAN,37.616667,-109.46666
USC00422561,ENTERPRISE AIRPORT,UT,IRON,37.68333,-113.65
USW00093129,CEDAR CITY MUNICIPAL AP,UT,IRON,37.7,-113.1
USW00023159,BRYCE CANYON,UT,GARFIELD,37.7,-112.15
USW00023177,MODENA,UT,IRON,37.8,-113.91666
USW00023170,HANKSVILLE FAA AP,UT,WAYNE,38.41667,-110.7
USC00425654,MILFORD,UT,BEAVER,38.43333,-113.08333
USW00093075,MOAB CANYONLAND AP,UT,GRAND,38.8,-109.73333
USC00423413,GREEN RIVER RNG GWC,UT,GRAND,39.0,-110.15
USW00023162,DELTA,UT,MILLARD,39.35,-112.56667
USW00093141,PRICE CARBON COUNTY AP,UT,CARBON,39.61667,-110.76667
USC00426568,OURAY 4 NE,UT,UINTAH,40.1345,-109.6435
USW00024103,DUGWAY PROVING GROUNDS,UT,TOOELE,40.18333,-112.93333
USW00094138,TOOELE,UT,TOOELE,40.15,-113.06667
USC00427061,PROVO AIRPORT,UT,UTAH,40.21667,-111.71667
USC00427395,ROOSEVELT,UT,DUCHESNE,40.3,-109.98333
USW00024122,FAIRFIELD CAA AP,UT,UTAH,40.35,-112.05
USC00424746,KNOLLS AIRPORT,UT,TOOELE,40.73333,-113.18333
USW00024193,WENDOVER,UT,TOOELE,40.733333,-114.03333
USW00024111,WENDOVER DARBY AAB,UT,TOOELE,40.73333,-114.03333
USW00024175,SALT LAKE CITY,UT,SALT LAKE,40.766667,-111.9
USW00024127,SALT LAKE CITY AP,UT,SALT LAKE,40.76667,-111.96667
USW00024120,COALVILLE,UT,SUMMIT,40.91667,-111.4
USW00024101,OGDEN HILL AAF,UT,DAVIS,41.11667,-111.98333
USW00024126,OGDEN,UT,WEBER,41.2,-111.98333
USW00024125,LUCIN,UT,BOX ELDER,41.36667,-113.83333
USW00094128,LOGAN,UT,CACHE,41.78333,-111.85
USW00054781,BENNINGTON MUNICIPAL AP,VT,BENNINGTON,42.88333,-73.25
USW00054740,SPRINGFIELD STATE AP,VT,WINDSOR,43.33333,-72.51667
USW00094737,RUTLAND STATE AP,VT,RUTLAND,43.53333,-72.95
USW00094705,MONTPELIER AIRPORT,VT,WASHINGTON,44.18333,-72.5
USC00431072,BURLINGTON,VT,CHITTENDEN,44.48333,-73.18333
USC00435542,NEWPORT,VT,ORLEANS,44.93333,-72.2
USW00013728,DANVILLE FAA AP,VA,PITTSYLVANIA,36.56667,-79.33333
USW00013762,FENTRESS NAAS,VA,CHESAPEAKE (CITY),36.66667,-76.15
USC00447925,SOUTH BOSTON,VA,HALIFAX,36.7,-78.88333
USW00013769,OCEANA NAAS,VA,VIRGINIA BEACH (CITY),36.83333,-76.01667
USC00446144,NORFOLK WB CITY,VA,NORFOLK (CITY),36.85,-76.28333
USC00441362,CAPE HENRY WB CITY,VA,VIRGINIA BEACH (CITY),36.9257,-76.00803
USW00013737,NORFOLK MUNICIPAL AP,VA,NORFOLK (CITY),36.88333,-76.2
USW00013750,NORFOLK NAS,VA,NORFOLK (CITY),36.93746,-76.28926
USW00093731,NORFOLK FLEET WF NAS,VA,NORFOLK (CITY),36.95,-76.3
USW00013702,LANGLEY AAF,VA,HAMPTON (CITY),37.06667,-76.36667
USW00013726,BLACKSTONE,VA,NOTTOWAY,37.08333,-77.95
USW00013868,PULASKI FAA AP,VA,PULASKI,37.08333,-80.78333
USW00093741,NEWPORT NEWS,VA,NEWPORT NEWS (CITY),37.13333,-76.5
USW00093735,FORT EUSTIS FELKER AAF,VA,NEWPORT NEWS (CITY),37.13333,-76.6
USW00013733,LYNCHBURG PRESTON GLENN AP,VA,CAMPBELL,37.33333,-79.2
USW00013741,WOODRUM,VA,ROANOKE,37.31667,-79.96667
USC00445121,LYNCHBURG - COOP,VA,LYNCHBURG (CITY),37.41667,-79.15
USC00444031,HOG ISLAND LITTLE MACHIPONG,VA,NORTHAMPTON,37.45,-75.68333
USW00013740,BYRD,VA,HENRICO,37.5,-77.33333
USW00013780,RICHMOND,VA,RICHMOND (CITY),37.53333,-77.45
USW00013742,URBANNA,VA,MIDDLESEX,37.61667,-76.55
USW00093739,WALLOPS STATION UPPER AIR UNIT,VA,ACCOMACK,37.85,-75.48333
USW00013755,CHINCOTEAGUE NAS,VA,,37.8,-75.46667
USW00013732,GORDONSVILLE FAA AP,VA,ORANGE,38.16667,-78.16667
USW00093736,CHARLOTTESVILLE ALBEMARLE AP,VA,ALBEMARLE,38.14,-78.45
USW00013760,DAHLGREN,VA,KING GEORGE,38.33333,-77.03333
USW00013773,QUANTICO MCAS,VA,STAFFORD,38.50362,-77.30503
USW00093728,DAVISON AAF,VA,FAIRFAX,38.71667,-77.18333
USW00013743,WASHINGTON D C BOLLING FIELD,VA,ARLINGTON,38.85,-77.03333
USW00093738,DULLES INTL AP,VA,LOUDOUN,38.933333,-77.45
USW00093734,STERLING,VA,LOUDOUN,38.98333,-77.46667
USW00013731,FRONT ROYAL,VA,WARREN,38.9,-78.18333
USW00024219,THE DALLES MUNICIPAL AP,WA,KLICKITAT,45.6,-121.13333
USW00094298,VANCOUVER PEARSON AIRPORT,WA,CLARK,45.61667,-122.65
USW00024238,STEVENSON,WA,SKAMANIA,45.71667,-121.83333
USW00094103,WALLA WALLA WB CITY,WA,WALLA WALLA,46.03333,-118.33333
USW00024160,WALLA WALLA MUNICIPAL AP,WA,WALLA WALLA,46.1,-118.28333
USW00024223,KELSO WB AP,WA,COWLITZ,46.13333,-122.9
USW00024163,PASCO NAS,WA,FRANKLIN,46.23333,-119.11667
USC00451189,CASTLE ROCK,WA,COWLITZ,46.28333,-122.9
USW00024147,LA CROSSE,WA,WHITMAN,46.81667,-117.88333
USW00024226,NORTH HEAD,WA,PACIFIC,46.29888,-124.07777
USW00024241,TOLEDO WINLOCK MUNICIPAL AP,WA,LEWIS,46.48333,-122.81667
USW00024243,YAKIMA AIR TERMINAL,WA,YAKIMA,46.6,-120.5
USC00451330,CHEHALIS,WA,LEWIS,46.66667,-122.98333
USW00094129,PULLMAN MOSCOW REGIONAL AP,WA,WHITMAN,46.75,-117.11667
USW00024227,OLYMPIA AP,WA,THURSTON,46.96667,-122.9
USC00453804,HOQUIAM,WA,GRAYS HARBOR,46.98333,-123.88333
USW00094225,HOQUIAM AP,WA,GRAYS HARBOR,46.96667,-123.93333
USW00024220,ELLENSBURG BOWERS FIELD,WA,KITTITAS,47.0,-120.51667
USW00024201,GRAY AAF,WA,PIERCE,47.08333,-122.61667
USW00024207,TACOMA MCCHORD AAF,WA,PIERCE,47.15,-122.48333
USW00024110,LARSON AAF,WA,GRANT,47.18333,-119.33333
USW00024237,STAMPEDE PASS,WA,KITTITAS,47.28333,-121.33333
USW00024239,TACOMA CITY HALL,WA,PIERCE,47.25,-122.43333
USW00094227,SHELTON,WA,MASON,47.25,-123.15
USW00024253,SHELTON NAAS,WA,MASON,47.25,-123.13333
USW00094274,TACOMA,WA,PIERCE,47.26667,-122.58333
USW00094239,PANGBORN FIELD,WA,CHELAN,47.4,-120.2
USW00024233,TACOMA,WA,KING,47.43333,-122.3
USW00094263,BREMERTON,WA,KITSAP,47.48333,-122.76667
USW00094248,RENTON MUNICIPAL AP,WA,KING,47.5,-122.21667
USW00024234,SEATTLE BOEING FIELD,WA,KING,47.53333,-122.26667
USW00024157,SPOKANE,WA,SPOKANE,47.666667,-117.33333
USW00024114,FAIRCHILD AAF,WA,SPOKANE,47.63333,-117.65
USW00024281,SEATTLE CITY OFFICE,WA,KING,47.6,-122.33333
USW00094176,SPOKANE WBAS,WA,SPOKANE,47.66667,-117.33333
USC00459012,WATERVILLE,WA,DOUGLAS,47.65,-120.06667
USW00024244,SEATTLE NAS,WA,KING,47.68333,-122.25
USC00452126,DESTRUCTION ISLAND LIGHT STN,WA,JEFFERSON,47.675,-124.48583
USW00024222,EVERETT,WA,SNOHOMISH,48.0,-122.21667
USW00024203,EVERETT PAINE AAF,WA,SNOHOMISH,47.9,-122.28333
USW00094119,DEER PARK,WA,SPOKANE,47.96667,-117.43333
USW00094240,QUILLAYUTE WSO AIRPORT,WA,CLALLAM,47.95,-124.55
USW00024252,QUILLAYUTE NAAS,WA,CLALLAM,47.95,-124.53333
USW00024228,PORT ANGELES ASC,WA,CLALLAM,48.13944,-123.4025
USW00094266,PORT ANGELES,WA,CLALLAM,48.11667,-123.5
USW00024247,ARLINGTON NAAS,WA,SNOHOMISH,48.2,-122.18333
USW00024255,WHIDBEY ISLAND NAS,WA,ISLAND,48.28333,-122.61667
USW00024240,TATOOSH ISLAND WB,WA,CLALLAM,48.39361,-124.73694
USC00456123,OMAK 2 NW,WA,OKANOGAN,48.43333,-119.53333
USC00456121,OMAK,WA,OKANOGAN,48.41667,-119.53333
USC00451650,COLVILLE AIRPORT,WA,STEVENS,48.53333,-117.88333
USW00094276,FRIDAY HARBOR AIRPORT,WA,SAN JUAN,48.51667,-123.01667
USW00024217,BELLINGHAM AIRPORT,WA,WHATCOM,48.78333,-122.53333
USC00451654,COLVILLE 5 NE,WA,STEVENS,48.58333,-117.8
CAW00014508,ARGENTIA,NL,,47.30194,-53.98694
CAW00015620,SAGLEK BAY,NL,,58.48333,-62.65
AYW00057401,ELLSWORTH IGY,,,-77.73333,-41.11667
AYW00057701,EIGHTS,,,-75.23333,-77.16667
AYW00057801,SIPLE STATION,,,-75.91667,-83.91667
AYW00067401,LITTLE ROCKFORD,,,-79.25,-147.5
AYW00067402,LITTLE ROCKFORD,,,-76.26667,-147.5
AYW00067601,LITTLE AMERICA,,,-78.19944,-162.14388
AYW00068201,BYRD STATION,,,-80.01667,-119.53333
AYW00068701,BROCKTON STATION,,,-80.01667,-178.41667
AYW00077401,PLATEAU STATION,,,-79.46667,40.58333
AYW00086101,WILKES,,,-66.26667,110.56667
AYW00087602,MARBLE POINT,,,-77.41667,163.68333
AYW00087701,ADARE HALLETT,,,-72.29444,170.30833
AYW00088702,BEARDMORE CAMP,,,-83.4,174.75
AYW00088703,LITTLE JEANA STATION,,,-81.38333,170.75
AYW00090001,AMUNDSEN-SCOTT,,,-90.0,0.0
ACW00011604,ST JOHNS COOLIDGE FIELD,,,17.11667,-61.78333
ACW00011647,ST JOHNS,,,17.13333,-61.78333
SHW00050101,ASCENSION ISLAND,,,-7.96667,-14.4
AUW00034165,VIENNA,,,48.31667,16.13333
BFW00012712,GOLD ROCK CREEK,,,26.61667,-78.36667
BFW00012713,ELEUTHERA ISLAND,,,25.26667,-76.3
BFW00012714,GRAND TURK ISLAND,,,21.43333,-71.13333
BFW00012715,MAYAGUAN,,,22.36667,-73.03333
BFW00012716,SAN SALVADOR,,,24.06667,-74.51667
BDW00013602,BERMUDA,,,32.36916,-64.64888
BRW00052401,SANTA CRUZ,,,-22.91667,-43.78333
CJW00011813,ROBERTS,,,19.3,-81.36667
CIW00054701,PUERTO MONTT B,,,-41.46667,-72.81667
CHW00043204,HUNG CHIA,,,31.23333,121.45
CHW00043205,TSINGTAO,,,36.18333,120.38333
CUW00011706,GUANTANAMO BAY NAS,,,19.9,-75.15
CUW00012857,SAN JULIAN,,,22.06667,-84.15
IOW00070701,DIEGO GARCIA NAF,,,-7.3,72.4
DRW00011650,SAN ISIDRO,,,18.5,-69.75
ECW00050904,GALAPAGOS ISLAND NF,,,-0.43333,-90.28333
FRW00034048,CHATEAUROUX,,,46.85,1.71667
FRW00034051,TOUL ROSIERE,,,48.76667,5.98333
FRW00034052,CHAUMONT,,,48.1,5.05
FRW00034053,LAON,,,49.63333,3.55
FRW00034061,EVREUX FAUVILLE,,,49.01667,1.23333
FRW00034062,PHALSBOURG,,,48.81667,7.2
FRW00034063,CHAMBLEY,,,49.03333,5.86667
FRW00034064,ETAIN,,,49.23333,5.68333
FRW00034065,DREUX,,,48.65,1.1
FRW00034066,ORLEANS,,,47.93333,1.88333
FRW00034067,BRIENNE,,,48.43333,4.48333
FRW00034071,VERDUN,,,49.11667,5.46667
GMW00034036,GIEBELSTADT,,,49.65,9.96667
GMW00034041,STUTTGART,,,48.68333,9.21667
GMW00034046,HEIDELBERG,,,49.4,8.65
GMW00034049,BITBURG,,,49.95,6.56667
GMW00034050,RAMSTEIN,,,49.43333,7.6
GMW00034054,SPANGDAHLEM,,,49.98333,6.7
GMW00034055,HUNSRUCK,,,49.95,7.26667
GMW00034056,SEMBACH,,,49.5,7.86667
GMW00034068,COLEMAN,,,49.56667,8.46667
GMW00034069,KARLSRUHE,,,49.01667,8.36667
GMW00034070,BAD KREUZNACH,,,49.85,7.88333
GMW00034074,SCHWAEBISCH HALL,,,49.11667,9.78333
GMW00034075,MAINZ,,,49.96667,8.15
GMW00034076,WERTHEIM,,,49.75,9.5
GMW00034077,BAUMHOLDER,,,49.65,7.3
GMW00034161,KAUFBEUREN,,,47.86667,10.61667
GMW00034168,ERDING,,,48.31667,11.93333
GMW00034169,LANDSBERG,,,48.08333,10.91667
GMW00034171,NEUBIBERG,,,48.06667,11.65
GMW00034172,ANSBACH,,,49.31667,10.63333
GMW00034175,OBERPFAFFENHOFEN,,,48.08333,11.28333
GMW00034176,FURTH,,,49.5,10.95
GMW00034178,FURSTENFELDBRUCK,,,48.2,11.26667
GMW00034189,GRAFENWOHR,,,49.7,11.93333
GMW00034190,ILLESHEIM,,,49.46667,10.38333
GMW00034191,KITZINGEN,,,49.75,10.2
GMW00034192,STRAUBING,,,48.81667,12.58333
GMW00034193,MULHAUSEN,,,48.33333,10.9
GMW00034195,HOHENFELS,,,49.21667,11.83333
GMW00034196,GABLINGEN,,,48.45,10.86667
GMW00034197,BAD TOLZ,,,47.76667,11.6
GMW00035009,HANAU,,,50.16667,8.96667
GMW00035010,WIESBADEN,,,50.05,8.33333
GMW00035032,RHEIN MAIN,,,50.03333,8.58333
GMW00035053,FULDA,,,50.55,9.65
GMW00035056,ROSE,,,50.18333,8.66667
GMW00035104,TEMPELHOF,,,52.48333,13.4
GMW00035108,FASSBERG,,,52.85,10.18333
GMW00035109,CELLE,,,52.58333,10.03333
GMW00035110,TEGEL,,,52.56667,13.3
GRW00033209,SOUDA BAY CRETE,,,35.53333,24.15
GLW00016404,IVIGTUT,,,61.21667,-48.11667
GLW00016405,NARSARSSUAK,,,61.18333,-45.41667
GLW00016407,SIMIUTAK,,,60.68972,-46.59638
GLW00016504,SONDRESTROM,,,67.01667,-50.8
GLW00017503,CAMP TUTO SITE 2,,,76.98333,-56.06667
GLW00017602,THULE,,,76.55,-68.81667
GLW00017605,PITUFFIK,,,76.51667,-68.83333
GLW00017607,ICECAP,,,77.0,-56.08333
GLW00017610,THULE MILE 60 SIERRA,,,77.23333,-62.33333
GLW00017611,CAMP TUTO ICECAP STA,,,76.41667,-68.31667
GLW00017612,CAMP TUTO ICECAP ST,,,76.41667,-68.25
GLW00017614,CAMP TUTO ICECAP STA,,,76.4,-68.13333
GLW00017615,CAMP CENTURY,,,77.16667,-61.13333
GLW00017616,CAMP TUTO WEST ASC S,,,76.46667,-68.66667
GLW00017617,CAMP TUTO EAST ASC S,,,76.38333,-67.91667
GYW00010502,GEORGETOWN,,,6.5,-58.25
HOW00011806,PUERTO CASTILLA,,,16.01667,-85.95
HOW00011807,SWAN ISLAND,,,17.4,-83.93333
ICW00016201,KEFLAVIK,,,63.96667,-22.6
ICW00091004,ICE SKATE B,,,80.0,-113.0
ITW00033126,SIGONELLA,,,37.4,14.91667
ITW00034113,NAPLES,,,40.9,14.3
ITW00034187,AVIANO,,,46.03333,12.6
ITW00034194,VERONA,,,45.46667,10.93333
JMW00011704,KINGSTON,,,17.9,-77.28333
JAW00042202,OKINAWA RYUKYU ISLAN,,,26.38333,127.75
JAW00042204,KADENA AB,,,26.35,127.76667
JAW00042206,OKINAWA RYUKYU ISLANDS,,,26.2,127.65
