DATE,LATITUDE,LONGITUDE,NAME,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,HTDD,PRCP,TAVG,TMAX,TMIN,TSUN,msa,msa_code
2018,42.31192,-85.24147,"BATTLE CREEK KELLOGG AIRPORT, MI US",,,,,,,,,3578.2,904.4,,,,,"Battle Creek, MI Metro Area",128
2019,42.31192,-85.24147,"BATTLE CREEK KELLOGG AIRPORT, MI US",419.3,6.0,137.0,46.0,134.0,10.0,-27.7,34.4,,955.4,9.38,14.23,4.53,,"Battle Creek, MI Metro Area",128
2020,42.31192,-85.24147,"BATTLE CREEK KELLOGG AIRPORT, MI US",467.5,0.0,135.0,27.0,136.0,16.0,-16.0,34.4,3419.8,818.5,10.43,15.52,5.34,,"Battle Creek, MI Metro Area",128
2021,42.31192,-85.24147,"BATTLE CREEK KELLOGG AIRPORT, MI US",541.7,3.0,131.0,36.0,160.0,12.0,-24.3,33.3,3374.9,941.8,10.86,15.88,5.83,,"Battle Creek, MI Metro Area",128
2022,42.31192,-85.24147,"BATTLE CREEK KELLOGG AIRPORT, MI US",473.4,4.0,131.0,52.0,148.0,10.0,-20.5,35.0,3372.4,864.4,9.89,15.04,4.74,,"Battle Creek, MI Metro Area",128
2023,42.31192,-85.24147,"BATTLE CREEK KELLOGG AIRPORT, MI US",392.8,0.0,109.0,15.0,148.0,16.0,-15.5,33.3,3166.1,906.0,11.08,16.22,5.95,,"Battle Creek, MI Metro Area",128
2012,39.10205,-121.56884,"MARYSVILLE AIRPORT ASOS, CA US",872.0,0.0,18.0,0.0,206.0,113.0,-7.2,41.7,1472.4,628.1,16.94,24.57,9.31,,"Yuba City, CA Metro Area",485
2013,39.10205,-121.56884,"MARYSVILLE AIRPORT ASOS, CA US",868.3,0.0,50.0,0.0,239.0,99.0,-6.0,43.9,1287.7,182.5,16.92,25.22,8.62,,"Yuba City, CA Metro Area",485
2014,39.10205,-121.56884,"MARYSVILLE AIRPORT ASOS, CA US",963.6,0.0,21.0,0.0,240.0,112.0,-2.7,42.2,1217.8,527.7,18.03,25.74,10.33,,"Yuba City, CA Metro Area",485
2015,39.10205,-121.56884,"MARYSVILLE AIRPORT ASOS, CA US",944.7,0.0,19.0,0.0,243.0,104.0,-3.2,42.2,1032.8,253.8,17.64,25.39,9.9,,"Yuba City, CA Metro Area",485
2016,39.10205,-121.56884,"MARYSVILLE AIRPORT ASOS, CA US",837.7,0.0,14.0,0.0,237.0,101.0,-4.3,41.1,1233.5,542.2,17.26,24.62,9.9,,"Yuba City, CA Metro Area",485
2017,39.10205,-121.56884,"MARYSVILLE AIRPORT ASOS, CA US",990.6,0.0,26.0,0.0,207.0,101.0,-2.1,43.3,1366.6,638.9,17.39,24.59,10.19,,"Yuba City, CA Metro Area",485
2018,39.10205,-121.56884,"MARYSVILLE AIRPORT ASOS, CA US",802.0,0.0,26.0,0.0,224.0,90.0,-3.8,41.7,1361.8,496.6,16.84,24.67,9.0,,"Yuba City, CA Metro Area",485
2019,39.10205,-121.56884,"MARYSVILLE AIRPORT ASOS, CA US",821.4,0.0,11.0,0.0,219.0,93.0,-2.1,41.1,1347.9,736.6,16.8,24.07,9.52,,"Yuba City, CA Metro Area",485
2020,39.10205,-121.56884,"MARYSVILLE AIRPORT ASOS, CA US",1052.6,0.0,22.0,0.0,229.0,122.0,-2.1,43.3,1323.7,166.5,17.53,25.53,9.52,,"Yuba City, CA Metro Area",485
2021,39.10205,-121.56884,"MARYSVILLE AIRPORT ASOS, CA US",,,,,,,,,1302.4,288.3,,,,,"Yuba City, CA Metro Area",485
2022,39.10205,-121.56884,"MARYSVILLE AIRPORT ASOS, CA US",1077.9,0.0,29.0,0.0,238.0,117.0,-4.3,46.1,,282.6,17.46,25.88,9.05,,"Yuba City, CA Metro Area",485
2023,39.10205,-121.56884,"MARYSVILLE AIRPORT ASOS, CA US",861.9,0.0,24.0,0.0,209.0,94.0,-2.1,43.3,1564.4,563.0,16.9,24.33,9.47,,"Yuba City, CA Metro Area",485
2012,36.93936,-121.79001,"WATSONVILLE MUNICIPAL AIRPORT, CA US",,,,,,,,,,582.5,,,,,"Santa Cruz-Watsonville, CA Metro Area",414
2013,36.93936,-121.79001,"WATSONVILLE MUNICIPAL AIRPORT, CA US",65.9,0.0,23.0,0.0,154.0,1.0,-3.8,32.2,1710.7,88.6,13.94,20.36,7.52,,"Santa Cruz-Watsonville, CA Metro Area",414
2014,36.93936,-121.79001,"WATSONVILLE MUNICIPAL AIRPORT, CA US",181.8,0.0,0.0,0.0,211.0,10.0,0.6,37.8,1380.4,549.7,15.99,21.71,10.27,,"Santa Cruz-Watsonville, CA Metro Area",414
2015,36.93936,-121.79001,"WATSONVILLE MUNICIPAL AIRPORT, CA US",225.5,0.0,10.0,0.0,213.0,18.0,-3.2,38.3,953.5,293.2,15.77,21.89,9.64,,"Santa Cruz-Watsonville, CA Metro Area",414
2016,36.93936,-121.79001,"WATSONVILLE MUNICIPAL AIRPORT, CA US",45.8,0.0,3.0,0.0,132.0,6.0,-2.1,38.3,1277.6,617.3,14.53,20.04,9.01,,"Santa Cruz-Watsonville, CA Metro Area",414
2017,36.93936,-121.79001,"WATSONVILLE MUNICIPAL AIRPORT, CA US",134.0,0.0,5.0,0.0,176.0,12.0,-1.0,43.3,1603.9,832.4,14.71,20.71,8.71,,"Santa Cruz-Watsonville, CA Metro Area",414
2018,36.93936,-121.79001,"WATSONVILLE MUNICIPAL AIRPORT, CA US",25.0,0.0,8.0,0.0,160.0,1.0,-2.1,34.4,1471.5,,14.11,20.15,8.07,,"Santa Cruz-Watsonville, CA Metro Area",414
2019,36.93936,-121.79001,"WATSONVILLE MUNICIPAL AIRPORT, CA US",139.8,0.0,7.0,0.0,159.0,10.0,-1.6,38.3,1549.4,854.9,14.74,20.46,9.02,,"Santa Cruz-Watsonville, CA Metro Area",414
2020,36.93936,-121.79001,"WATSONVILLE MUNICIPAL AIRPORT, CA US",,,,,,,,,1328.7,375.3,,,,,"Santa Cruz-Watsonville, CA Metro Area",414
2021,36.93936,-121.79001,"WATSONVILLE MUNICIPAL AIRPORT, CA US",,,,,,,,,,643.4,,,,,"Santa Cruz-Watsonville, CA Metro Area",414
2022,36.93936,-121.79001,"WATSONVILLE MUNICIPAL AIRPORT, CA US",80.1,0.0,15.0,0.0,169.0,9.0,-1.6,38.9,1549.3,561.4,13.72,20.48,6.96,,"Santa Cruz-Watsonville, CA Metro Area",414
2023,36.93936,-121.79001,"WATSONVILLE MUNICIPAL AIRPORT, CA US",51.0,0.0,12.0,0.0,118.0,6.0,-2.1,36.7,1994.1,796.8,13.62,19.22,8.01,,"Santa Cruz-Watsonville, CA Metro Area",414
2012,29.99755,-90.27772,"NEW ORLEANS AIRPORT, LA US",1853.8,0.0,1.0,0.0,302.0,75.0,0.0,36.7,438.2,1734.5,22.17,26.88,17.46,,"New Orleans-Metairie, LA Metro Area",348
2013,29.99755,-90.27772,"NEW ORLEANS AIRPORT, LA US",1633.2,0.0,1.0,0.0,270.0,74.0,0.0,36.1,657.5,1686.3,20.78,25.16,16.4,,"New Orleans-Metairie, LA Metro Area",348
2014,29.99755,-90.27772,"NEW ORLEANS AIRPORT, LA US",1631.3,0.0,10.0,0.0,269.0,78.0,-4.3,35.6,898.0,1390.8,20.45,25.21,15.69,,"New Orleans-Metairie, LA Metro Area",348
2015,29.99755,-90.27772,"NEW ORLEANS AIRPORT, LA US",1961.0,0.0,3.0,0.0,292.0,91.0,-3.8,37.2,726.2,1812.6,22.08,26.46,17.7,,"New Orleans-Metairie, LA Metro Area",348
2016,29.99755,-90.27772,"NEW ORLEANS AIRPORT, LA US",2122.7,0.0,0.0,0.0,304.0,118.0,0.6,37.8,431.7,1797.5,22.75,27.19,18.32,,"New Orleans-Metairie, LA Metro Area",348
2017,29.99755,-90.27772,"NEW ORLEANS AIRPORT, LA US",1761.6,0.0,4.0,0.0,305.0,63.0,-2.7,35.6,367.2,1839.4,21.89,26.43,17.35,,"New Orleans-Metairie, LA Metro Area",348
2018,29.99755,-90.27772,"NEW ORLEANS AIRPORT, LA US",1988.2,0.0,12.0,0.0,292.0,117.0,-6.6,36.7,637.3,1565.1,22.06,26.62,17.5,,"New Orleans-Metairie, LA Metro Area",348
2019,29.99755,-90.27772,"NEW ORLEANS AIRPORT, LA US",2011.3,0.0,0.0,0.0,293.0,120.0,1.1,37.2,562.3,1588.9,22.37,26.96,17.78,,"New Orleans-Metairie, LA Metro Area",348
2020,29.99755,-90.27772,"NEW ORLEANS AIRPORT, LA US",2037.1,0.0,0.0,0.0,304.0,93.0,1.7,37.2,434.7,1823.3,22.77,27.14,18.39,,"New Orleans-Metairie, LA Metro Area",348
2021,29.99755,-90.27772,"NEW ORLEANS AIRPORT, LA US",1895.5,0.0,3.0,0.0,293.0,71.0,-3.8,36.7,600.2,2186.3,21.96,26.27,17.66,,"New Orleans-Metairie, LA Metro Area",348
2022,29.99755,-90.27772,"NEW ORLEANS AIRPORT, LA US",1859.3,0.0,5.0,0.0,287.0,83.0,-3.8,37.2,571.8,1462.6,21.52,26.11,16.94,,"New Orleans-Metairie, LA Metro Area",348
2023,29.99755,-90.27772,"NEW ORLEANS AIRPORT, LA US",2130.9,0.0,0.0,0.0,290.0,121.0,2.2,40.6,469.6,1013.4,22.94,27.47,18.42,,"New Orleans-Metairie, LA Metro Area",348
2012,36.01027,-94.16824,"FAYETTEVILLE DRAKE FIELD, AR US",968.8,0.0,87.0,4.0,215.0,66.0,-12.2,40.0,1870.6,779.3,15.85,22.87,8.83,,"Fayetteville-Springdale-Rogers, AR Metro Area",215
2013,36.01027,-94.16824,"FAYETTEVILLE DRAKE FIELD, AR US",748.9,0.0,115.0,6.0,178.0,43.0,-13.2,37.2,2350.3,1183.9,13.43,19.91,6.95,,"Fayetteville-Springdale-Rogers, AR Metro Area",215
2014,36.01027,-94.16824,"FAYETTEVILLE DRAKE FIELD, AR US",663.8,4.0,115.0,13.0,180.0,22.0,-19.3,36.7,2683.9,993.0,12.96,19.32,6.6,,"Fayetteville-Springdale-Rogers, AR Metro Area",215
2015,36.01027,-94.16824,"FAYETTEVILLE DRAKE FIELD, AR US",710.4,0.0,91.0,8.0,195.0,26.0,-16.0,34.4,2400.5,1669.8,14.23,20.55,7.9,,"Fayetteville-Springdale-Rogers, AR Metro Area",215
2016,36.01027,-94.16824,"FAYETTEVILLE DRAKE FIELD, AR US",819.9,0.0,94.0,4.0,213.0,35.0,-16.0,35.0,2020.9,850.0,14.91,21.55,8.27,,"Fayetteville-Springdale-Rogers, AR Metro Area",215
2017,36.01027,-94.16824,"FAYETTEVILLE DRAKE FIELD, AR US",670.0,1.0,81.0,5.0,220.0,16.0,-18.2,34.4,1811.8,1302.3,14.95,21.64,8.25,,"Fayetteville-Springdale-Rogers, AR Metro Area",215
2018,36.01027,-94.16824,"FAYETTEVILLE DRAKE FIELD, AR US",919.4,1.0,99.0,10.0,189.0,45.0,-18.2,37.8,2237.6,1185.3,14.3,20.72,7.88,,"Fayetteville-Springdale-Rogers, AR Metro Area",215
2019,36.01027,-94.16824,"FAYETTEVILLE DRAKE FIELD, AR US",829.9,0.0,97.0,4.0,189.0,36.0,-13.8,35.0,2341.2,1658.3,14.39,20.5,8.28,,"Fayetteville-Springdale-Rogers, AR Metro Area",215
2020,36.01027,-94.16824,"FAYETTEVILLE DRAKE FIELD, AR US",789.5,0.0,79.0,1.0,212.0,42.0,-10.5,35.0,2023.9,1267.4,15.12,21.55,8.69,,"Fayetteville-Springdale-Rogers, AR Metro Area",215
2021,36.01027,-94.16824,"FAYETTEVILLE DRAKE FIELD, AR US",860.0,3.0,84.0,10.0,211.0,55.0,-28.8,35.6,2270.0,1082.8,15.0,21.62,8.38,,"Fayetteville-Springdale-Rogers, AR Metro Area",215
2022,36.01027,-94.16824,"FAYETTEVILLE DRAKE FIELD, AR US",1024.3,2.0,105.0,11.0,208.0,72.0,-19.3,40.0,1940.3,1060.9,15.15,22.12,8.19,,"Fayetteville-Springdale-Rogers, AR Metro Area",215
2023,36.01027,-94.16824,"FAYETTEVILLE DRAKE FIELD, AR US",982.7,0.0,77.0,3.0,218.0,59.0,-7.7,39.4,1936.8,1140.3,15.98,22.82,9.14,,"Fayetteville-Springdale-Rogers, AR Metro Area",215
2012,32.51552,-92.02995,"MONROE REGIONAL AIRPORT, LA US",1543.1,0.0,27.0,0.0,275.0,105.0,-4.4,39.4,886.6,1436.6,20.1,26.37,13.82,,"Monroe, LA Metro Area",335
2013,32.51552,-92.02995,"MONROE REGIONAL AIRPORT, LA US",1330.3,0.0,43.0,0.0,239.0,100.0,-4.9,37.8,1251.6,1278.5,18.13,24.33,11.94,,"Monroe, LA Metro Area",335
2014,32.51552,-92.02995,"MONROE REGIONAL AIRPORT, LA US",1242.8,0.0,52.0,4.0,240.0,77.0,-10.5,36.7,1596.4,1323.5,17.49,23.6,11.38,,"Monroe, LA Metro Area",335
2015,32.51552,-92.02995,"MONROE REGIONAL AIRPORT, LA US",1495.0,0.0,38.0,0.0,253.0,108.0,-8.8,40.6,1417.0,1360.6,19.14,25.06,13.23,,"Monroe, LA Metro Area",335
2016,32.51552,-92.02995,"MONROE REGIONAL AIRPORT, LA US",1498.4,0.0,30.0,0.0,269.0,107.0,-5.0,37.8,909.6,1738.8,19.67,25.69,13.64,,"Monroe, LA Metro Area",335
2017,32.51552,-92.02995,"MONROE REGIONAL AIRPORT, LA US",1432.2,0.0,22.0,0.0,284.0,77.0,-7.7,37.2,798.2,1358.0,19.81,25.73,13.89,,"Monroe, LA Metro Area",335
2018,32.51552,-92.02995,"MONROE REGIONAL AIRPORT, LA US",1592.3,0.0,31.0,2.0,238.0,125.0,-11.0,38.9,1176.9,1734.5,19.23,24.99,13.46,,"Monroe, LA Metro Area",335
2019,32.51552,-92.02995,"MONROE REGIONAL AIRPORT, LA US",1522.0,0.0,29.0,0.0,246.0,116.0,-6.6,38.9,1217.8,1566.2,19.22,25.15,13.28,,"Monroe, LA Metro Area",335
2020,32.51552,-92.02995,"MONROE REGIONAL AIRPORT, LA US",1378.8,0.0,19.0,0.0,261.0,93.0,-3.2,37.2,1048.6,1837.6,19.45,25.22,13.67,,"Monroe, LA Metro Area",335
2021,32.51552,-92.02995,"MONROE REGIONAL AIRPORT, LA US",1469.4,0.0,26.0,5.0,275.0,88.0,-8.8,37.2,1202.5,1163.2,19.25,25.11,13.39,,"Monroe, LA Metro Area",335
2022,32.51552,-92.02995,"MONROE REGIONAL AIRPORT, LA US",,,,1.0,261.0,113.0,,38.9,,1437.0,,25.79,,,"Monroe, LA Metro Area",335
2023,32.51552,-92.02995,"MONROE REGIONAL AIRPORT, LA US",1689.2,0.0,20.0,0.0,269.0,125.0,-2.7,42.2,921.9,1009.1,20.46,26.75,14.18,,"Monroe, LA Metro Area",335
2012,31.0658,-97.6919,"KILLEEN, TX US",,,,0.0,283.0,131.0,,41.1,,274.1,,27.33,,,"Killeen-Temple, TX Metro Area",281
2013,31.0658,-97.6919,"KILLEEN, TX US",,,,,,,,,,280.4,,,,,"Killeen-Temple, TX Metro Area",281
2014,31.0658,-97.6919,"KILLEEN, TX US",,0.0,35.0,,,,-7.7,,,430.1,,,13.06,,"Killeen-Temple, TX Metro Area",281
2015,31.0658,-97.6919,"KILLEEN, TX US",,,,,,,,,1148.9,,,,,,"Killeen-Temple, TX Metro Area",281
2016,31.0658,-97.6919,"KILLEEN, TX US",1585.7,0.0,20.0,0.0,281.0,105.0,-7.7,38.9,,920.0,20.52,26.35,14.69,,"Killeen-Temple, TX Metro Area",281
2017,31.0658,-97.6919,"KILLEEN, TX US",,,,,,,,,661.5,,,,,,"Killeen-Temple, TX Metro Area",281
2018,31.0658,-97.6919,"KILLEEN, TX US",,,,,,,,,,767.5,,,,,"Killeen-Temple, TX Metro Area",281
2019,31.0658,-97.6919,"KILLEEN, TX US",1665.9,0.0,30.0,0.0,259.0,128.0,-5.5,38.9,,,19.69,25.8,13.57,,"Killeen-Temple, TX Metro Area",281
2020,31.0658,-97.6919,"KILLEEN, TX US",,,,,,,,,1016.9,,,,,,"Killeen-Temple, TX Metro Area",281
2021,31.0658,-97.6919,"KILLEEN, TX US",,,,,,,,,,,,,,,"Killeen-Temple, TX Metro Area",281
2022,31.0658,-97.6919,"KILLEEN, TX US",1906.1,0.0,42.0,2.0,268.0,142.0,-11.0,41.7,957.9,370.0,20.29,27.0,13.57,,"Killeen-Temple, TX Metro Area",281
2023,31.0658,-97.6919,"KILLEEN, TX US",,,,,,,,,,523.3,,,,,"Killeen-Temple, TX Metro Area",281
2012,41.24295,-76.92173,"WILLIAMSPORT REGIONAL AIRPORT, PA US",512.4,0.0,110.0,12.0,156.0,23.0,-13.9,37.2,2694.4,921.2,12.08,17.61,6.55,,"Williamsport, PA Metro Area",477
2013,41.24295,-76.92173,"WILLIAMSPORT REGIONAL AIRPORT, PA US",465.2,0.0,140.0,32.0,150.0,14.0,-17.2,35.0,3185.9,831.0,10.41,15.77,5.05,,"Williamsport, PA Metro Area",477
2014,41.24295,-76.92173,"WILLIAMSPORT REGIONAL AIRPORT, PA US",378.9,6.0,131.0,43.0,151.0,5.0,-21.6,32.8,3620.8,945.1,9.74,15.22,4.27,,"Williamsport, PA Metro Area",477
2015,41.24295,-76.92173,"WILLIAMSPORT REGIONAL AIRPORT, PA US",503.6,5.0,118.0,34.0,162.0,17.0,-22.7,33.3,3453.8,1030.9,10.86,16.48,5.24,,"Williamsport, PA Metro Area",477
2016,41.24295,-76.92173,"WILLIAMSPORT REGIONAL AIRPORT, PA US",620.1,1.0,111.0,23.0,157.0,33.0,-18.2,37.2,2764.3,877.3,11.99,17.8,6.18,,"Williamsport, PA Metro Area",477
2017,41.24295,-76.92173,"WILLIAMSPORT REGIONAL AIRPORT, PA US",496.9,0.0,102.0,24.0,163.0,18.0,-15.5,35.0,2774.4,1180.4,11.89,17.36,6.42,,"Williamsport, PA Metro Area",477
2018,41.24295,-76.92173,"WILLIAMSPORT REGIONAL AIRPORT, PA US",581.2,1.0,120.0,21.0,153.0,20.0,-19.9,36.1,3120.4,1779.2,11.16,16.1,6.23,,"Williamsport, PA Metro Area",477
2019,41.24295,-76.92173,"WILLIAMSPORT REGIONAL AIRPORT, PA US",467.2,4.0,122.0,19.0,151.0,9.0,-21.0,35.0,3134.8,1236.5,10.95,16.19,5.7,,"Williamsport, PA Metro Area",477
2020,41.24295,-76.92173,"WILLIAMSPORT REGIONAL AIRPORT, PA US",585.1,0.0,114.0,12.0,153.0,33.0,-15.5,37.8,3034.5,947.7,11.81,17.56,6.06,,"Williamsport, PA Metro Area",477
2021,41.24295,-76.92173,"WILLIAMSPORT REGIONAL AIRPORT, PA US",547.4,0.0,118.0,15.0,161.0,20.0,-14.3,35.6,3008.4,1135.3,11.82,17.14,6.51,,"Williamsport, PA Metro Area",477
2022,41.24295,-76.92173,"WILLIAMSPORT REGIONAL AIRPORT, PA US",538.7,3.0,125.0,27.0,156.0,27.0,-19.3,36.7,2980.9,1041.3,11.11,16.94,5.27,,"Williamsport, PA Metro Area",477
2023,41.24295,-76.92173,"WILLIAMSPORT REGIONAL AIRPORT, PA US",461.7,0.0,104.0,3.0,159.0,15.0,-15.5,35.6,2826.8,1169.2,12.2,17.83,6.57,,"Williamsport, PA Metro Area",477
2012,42.47849,-114.47744,"TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US",521.8,0.0,124.0,9.0,162.0,52.0,-17.1,38.3,3066.8,257.0,11.75,18.83,4.68,,"Twin Falls, ID Metro Area",453
2013,42.47849,-114.47744,"TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US",616.4,11.0,138.0,30.0,151.0,66.0,-21.6,39.4,3216.9,117.0,10.4,17.25,3.55,,"Twin Falls, ID Metro Area",453
2014,42.47849,-114.47744,"TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US",459.2,1.0,94.0,21.0,155.0,40.0,-18.8,40.0,3125.6,408.0,11.68,18.23,5.13,,"Twin Falls, ID Metro Area",453
2015,42.47849,-114.47744,"TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US",550.8,8.0,110.0,23.0,166.0,47.0,-24.3,38.9,2722.7,263.0,11.94,18.5,5.38,,"Twin Falls, ID Metro Area",453
2016,42.47849,-114.47744,"TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US",344.7,2.0,128.0,24.0,137.0,36.0,-26.0,37.2,3159.2,340.3,10.21,16.76,3.66,,"Twin Falls, ID Metro Area",453
2017,42.47849,-114.47744,"TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US",470.1,4.0,145.0,38.0,127.0,46.0,-24.9,37.2,3541.0,272.2,9.62,16.28,2.95,,"Twin Falls, ID Metro Area",453
2018,42.47849,-114.47744,"TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US",367.0,0.0,138.0,19.0,145.0,40.0,-17.7,38.3,3405.1,208.4,10.04,16.74,3.35,,"Twin Falls, ID Metro Area",453
2019,42.47849,-114.47744,"TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US",327.5,0.0,157.0,30.0,124.0,32.0,-16.6,37.8,3575.7,278.1,9.14,15.65,2.63,,"Twin Falls, ID Metro Area",453
2020,42.47849,-114.47744,"TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US",407.6,0.0,143.0,10.0,146.0,44.0,-13.8,38.3,3527.9,184.6,10.28,17.16,3.4,,"Twin Falls, ID Metro Area",453
2021,42.47849,-114.47744,"TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US",520.2,0.0,146.0,12.0,146.0,53.0,-12.7,37.8,3298.1,225.8,10.95,17.71,4.19,,"Twin Falls, ID Metro Area",453
2022,42.47849,-114.47744,"TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US",541.8,2.0,166.0,45.0,146.0,58.0,-19.9,38.9,3600.7,177.3,9.34,15.98,2.7,,"Twin Falls, ID Metro Area",453
2023,42.47849,-114.47744,"TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US",387.4,2.0,156.0,26.0,153.0,39.0,-19.9,38.3,3626.2,214.3,9.73,16.3,3.16,,"Twin Falls, ID Metro Area",453
2012,43.33849,-73.61024,"GLENS FALLS FLOYD BENNETT MEMORIAL AIRPORT, NY US",282.6,4.0,156.0,28.0,134.0,8.0,-21.1,35.6,3399.4,885.4,9.27,15.35,3.19,,"Glens Falls, NY Metro Area",229
2013,43.33849,-73.61024,"GLENS FALLS FLOYD BENNETT MEMORIAL AIRPORT, NY US",286.1,14.0,171.0,46.0,131.0,10.0,-27.8,34.4,3946.2,894.0,7.67,13.71,1.63,,"Glens Falls, NY Metro Area",229
2014,43.33849,-73.61024,"GLENS FALLS FLOYD BENNETT MEMORIAL AIRPORT, NY US",207.4,32.0,159.0,64.0,131.0,2.0,-31.6,32.8,4435.5,927.2,7.28,13.28,1.29,,"Glens Falls, NY Metro Area",229
2015,43.33849,-73.61024,"GLENS FALLS FLOYD BENNETT MEMORIAL AIRPORT, NY US",319.5,35.0,150.0,60.0,140.0,3.0,-32.7,33.3,4291.5,788.4,7.96,14.28,1.65,,"Glens Falls, NY Metro Area",229
2016,43.33849,-73.61024,"GLENS FALLS FLOYD BENNETT MEMORIAL AIRPORT, NY US",,,,,,,,,,802.2,,,,,"Glens Falls, NY Metro Area",229
2017,43.33849,-73.61024,"GLENS FALLS FLOYD BENNETT MEMORIAL AIRPORT, NY US",204.4,11.0,146.0,38.0,138.0,5.0,-29.3,33.3,3613.8,911.2,8.46,14.46,2.46,,"Glens Falls, NY Metro Area",229
2018,43.33849,-73.61024,"GLENS FALLS FLOYD BENNETT MEMORIAL AIRPORT, NY US",324.5,11.0,165.0,45.0,129.0,12.0,-31.6,33.9,4123.1,1024.4,7.92,13.46,2.37,,"Glens Falls, NY Metro Area",229
2019,43.33849,-73.61024,"GLENS FALLS FLOYD BENNETT MEMORIAL AIRPORT, NY US",222.7,19.0,164.0,53.0,123.0,5.0,-28.8,33.3,4100.3,1119.0,7.42,13.46,1.39,,"Glens Falls, NY Metro Area",229
2020,43.33849,-73.61024,"GLENS FALLS FLOYD BENNETT MEMORIAL AIRPORT, NY US",302.9,12.0,170.0,31.0,126.0,5.0,-24.9,33.9,4043.1,883.7,8.42,14.63,2.2,,"Glens Falls, NY Metro Area",229
2021,43.33849,-73.61024,"GLENS FALLS FLOYD BENNETT MEMORIAL AIRPORT, NY US",273.1,7.0,158.0,53.0,135.0,5.0,-26.0,33.9,3956.5,1069.5,8.49,14.26,2.72,,"Glens Falls, NY Metro Area",229
2022,43.33849,-73.61024,"GLENS FALLS FLOYD BENNETT MEMORIAL AIRPORT, NY US",236.4,15.0,167.0,47.0,126.0,10.0,-26.0,33.3,3850.2,957.3,7.99,14.53,1.45,,"Glens Falls, NY Metro Area",229
2023,43.33849,-73.61024,"GLENS FALLS FLOYD BENNETT MEMORIAL AIRPORT, NY US",233.6,2.0,154.0,26.0,139.0,3.0,-31.0,32.8,3723.7,1045.7,8.97,14.67,3.28,,"Glens Falls, NY Metro Area",229
2012,37.23983,-93.38995,"SPRINGFIELD WEATHER SERVICE OFFICE AIRPORT, MO US",958.4,0.0,87.0,6.0,201.0,67.0,-12.2,41.1,2073.1,786.6,15.29,21.65,8.93,,"Springfield, MO Metro Area",435
2013,37.23983,-93.38995,"SPRINGFIELD WEATHER SERVICE OFFICE AIRPORT, MO US",766.6,0.0,113.0,16.0,174.0,33.0,-17.1,35.6,2536.9,1317.9,12.99,18.65,7.33,,"Springfield, MO Metro Area",435
2014,37.23983,-93.38995,"SPRINGFIELD WEATHER SERVICE OFFICE AIRPORT, MO US",793.3,2.0,113.0,22.0,184.0,37.0,-23.2,38.3,2825.7,981.2,12.96,18.88,7.03,,"Springfield, MO Metro Area",435
2015,37.23983,-93.38995,"SPRINGFIELD WEATHER SERVICE OFFICE AIRPORT, MO US",843.9,1.0,77.0,14.0,191.0,33.0,-20.5,35.6,2543.4,1517.8,14.31,20.0,8.63,,"Springfield, MO Metro Area",435
2016,37.23983,-93.38995,"SPRINGFIELD WEATHER SERVICE OFFICE AIRPORT, MO US",980.1,0.0,87.0,10.0,208.0,47.0,-17.1,36.7,2039.7,921.1,15.25,21.1,9.39,,"Springfield, MO Metro Area",435
2017,37.23983,-93.38995,"SPRINGFIELD WEATHER SERVICE OFFICE AIRPORT, MO US",792.3,0.0,74.0,11.0,210.0,32.0,-17.1,36.7,1886.8,1208.0,15.08,21.05,9.12,,"Springfield, MO Metro Area",435
2018,37.23983,-93.38995,"SPRINGFIELD WEATHER SERVICE OFFICE AIRPORT, MO US",1073.2,3.0,98.0,16.0,179.0,64.0,-22.1,37.2,2391.0,1140.1,14.22,20.02,8.42,,"Springfield, MO Metro Area",435
2019,37.23983,-93.38995,"SPRINGFIELD WEATHER SERVICE OFFICE AIRPORT, MO US",915.8,0.0,94.0,13.0,185.0,45.0,-16.0,36.1,2511.4,1384.1,14.1,19.67,8.52,,"Springfield, MO Metro Area",435
2020,37.23983,-93.38995,"SPRINGFIELD WEATHER SERVICE OFFICE AIRPORT, MO US",791.2,0.0,97.0,7.0,180.0,42.0,-13.8,35.6,2417.7,1262.7,14.02,19.83,8.22,,"Springfield, MO Metro Area",435
2021,37.23983,-93.38995,"SPRINGFIELD WEATHER SERVICE OFFICE AIRPORT, MO US",856.4,4.0,84.0,16.0,184.0,43.0,-26.0,35.6,2521.5,1193.0,14.26,19.88,8.64,,"Springfield, MO Metro Area",435
2022,37.23983,-93.38995,"SPRINGFIELD WEATHER SERVICE OFFICE AIRPORT, MO US",967.7,2.0,100.0,18.0,189.0,58.0,-22.1,40.0,2260.0,1099.3,13.96,20.14,7.77,,"Springfield, MO Metro Area",435
